run_dir,method,client_id,n_samples,avg_mae,avg_rmse,mae_h1,rmse_h1,mae_h2,rmse_h2,mae_h3,rmse_h3
final_centralized_seed42,centralized,1,518,1.1001646518707275,1.5490957498550415,1.067455768585205,1.515493631362915,1.1565451622009275,1.5961387157440186,1.0764930248260498,1.535654902458191
final_centralized_seed42,centralized,2,520,1.4354067246119182,1.8709779977798464,1.403475999832153,1.8371540307998655,1.5235644578933716,1.9342931509017944,1.3791797161102295,1.8414868116378784
final_centralized_seed42,centralized,3,494,1.2694768110911052,1.7699944972991943,1.2254371643066406,1.7189801931381226,1.3624188899993896,1.8234070539474487,1.2205743789672852,1.7675962448120115
final_centralized_seed42,centralized,4,520,0.6964911421140035,1.0719457864761353,0.6692424416542053,1.043566107749939,0.7508783936500549,1.1027545928955078,0.6693525910377502,1.069516658782959
final_centralized_seed42,centralized,5,523,0.9105955561002096,1.128679275512695,0.8784492611885071,1.0959434509277344,0.9763702154159546,1.1786829233169556,0.876967191696167,1.111411452293396
final_centralized_seed42,centralized,6,496,1.6129449605941772,2.49993101755778,1.5856038331985474,2.4581503868103027,1.6182738542556765,2.5086941719055176,1.634957194328308,2.5329484939575195
final_centralized_seed42,centralized,7,515,1.1660385926564534,1.5625372727711997,1.1236408948898315,1.5227572917938232,1.2575193643569946,1.6309809684753418,1.1169555187225342,1.5338735580444336
final_centralized_seed42,centralized,8,496,2.7796385288238525,3.3958911895751958,2.7094626426696777,3.348515510559082,2.842519760131836,3.45295524597168,2.786933183670044,3.386202812194824
final_centralized_seed42,centralized,9,504,5.025133768717448,5.610284169514974,4.907901287078857,5.492626667022705,5.14894962310791,5.706930160522461,5.018550395965576,5.631295680999756
final_centralized_seed42,centralized,10,443,0.5625844995180765,0.764567494392395,0.5852032899856567,0.7830859422683716,0.5169170498847961,0.7204352617263794,0.5856331586837769,0.7901812791824341
final_centralized_seed42,centralized,11,513,3.360218365987142,3.956165552139282,3.293198108673096,3.905282974243164,3.459379911422729,4.024850368499756,3.3280770778656006,3.938363313674927
final_centralized_seed42,centralized,12,500,1.2549455165863037,1.89369793732961,1.1940158605575562,1.842130780220032,1.3237366676330566,1.945568919181824,1.2470840215682983,1.893394112586975
final_centralized_seed42,centralized,13,490,0.7840458750724792,1.0845833619435628,0.7622777819633484,1.0551940202713013,0.8114759922027588,1.102361798286438,0.7783838510513306,1.0961942672729492
final_centralized_seed42,centralized,14,497,0.7126519083976746,1.0257324973742168,0.690345823764801,0.997874081134796,0.7496180534362793,1.0679265260696411,0.6979918479919434,1.011396884918213
final_centralized_seed42,centralized,15,408,0.9520689646402994,1.3353493213653564,0.9170094728469848,1.302022099494934,1.0218920707702637,1.3907710313796997,0.91730535030365,1.3132548332214355
final_centralized_seed42,centralized,16,518,0.7970936298370361,1.0989340941111247,0.774335503578186,1.067176103591919,0.8344151973724365,1.1214103698730469,0.7825301885604858,1.1082158088684082
final_centralized_seed42,centralized,17,460,1.86467444896698,2.6096079349517822,1.8010146617889404,2.559981107711792,1.953162789344788,2.667098999023437,1.839845895767212,2.601743698120117
final_centralized_seed42,centralized,18,525,3.196061372756958,3.9610188007354736,3.106816291809082,3.873674154281616,3.283092975616455,3.999971389770508,3.198274850845337,4.009410858154297
final_centralized_seed42,centralized,19,496,1.9502298831939695,2.6354591051737466,1.8919024467468264,2.580634355545044,2.043634414672852,2.7001023292541504,1.9151527881622317,2.625640630722046
final_centralized_seed42,centralized,20,497,6.5368649164835615,6.984662373860677,6.457302093505859,6.921912670135498,6.629740238189697,7.055140495300293,6.523552417755127,6.97693395614624
final_fedavg_seed42,fedavg,1,518,3.0594440698623657,3.170721451441447,1.841842770576477,1.990574598312378,5.232873439788818,5.288425445556641,2.1036159992218018,2.2331643104553223
final_fedavg_seed42,fedavg,2,520,2.627490282058716,2.821332613627116,1.5129612684249878,1.754562258720398,4.662737846374512,4.765259742736816,1.706771731376648,1.9441758394241333
final_fedavg_seed42,fedavg,3,494,2.790989677111308,2.9597278436024985,1.6349680423736572,1.8414981365203855,4.928236484527588,5.012376308441162,1.8097645044326784,2.0253090858459477
final_fedavg_seed42,fedavg,4,520,1.5978643496831255,1.8503036101659136,0.9602646231651306,1.2450973987579346,2.9158945083618164,3.130225658416748,0.9174339175224304,1.175587773323059
final_fedavg_seed42,fedavg,5,523,2.059038738409678,2.22572914759318,0.9730674624443054,1.1685855388641355,4.054020881652832,4.1319966316223145,1.150027871131897,1.3766052722930908
final_fedavg_seed42,fedavg,6,496,2.542064070701599,2.7399571736653647,1.4161932468414309,1.666373372077942,4.585315227508545,4.692594528198242,1.6246837377548218,1.8609036207199097
final_fedavg_seed42,fedavg,7,515,1.9671077529589336,2.108111103375753,0.996392548084259,1.1455769538879397,3.8032615184783936,3.913191318511963,1.101669192314148,1.265565037727356
final_fedavg_seed42,fedavg,8,496,4.95907465616862,5.092626889546712,3.621157169342041,3.78711462020874,7.247037887573242,7.336670875549316,4.009028911590576,4.15409517288208
final_fedavg_seed42,fedavg,9,504,7.303849538167317,7.48339827855428,6.106623649597168,6.32478141784668,9.327091217041016,9.456117630004885,6.4778337478637695,6.669295787811279
final_fedavg_seed42,fedavg,10,443,1.7108995914459229,1.895534634590149,2.068563938140869,2.2327919006347656,1.3001505136489868,1.501268982887268,1.7639843225479126,1.952543020248413
final_fedavg_seed42,fedavg,11,513,4.998273928960164,5.057250181833903,3.5935847759246826,3.6664648056030273,7.395278453826904,7.429584980010986,4.005958557128906,4.075700759887695
final_fedavg_seed42,fedavg,12,500,3.464169343312581,3.6082687377929688,2.246616840362549,2.4363467693328857,5.632930278778076,5.713230609893799,2.512960910797119,2.6752288341522217
final_fedavg_seed42,fedavg,13,490,1.566661715507507,1.7553333441416423,1.278989315032959,1.4503521919250488,2.2632110118865967,2.477880954742432,1.1577848196029663,1.3377668857574463
final_fedavg_seed42,fedavg,14,497,2.3826286792755127,2.5502190589904785,1.287092208862305,1.4651368856430054,4.364623546600342,4.4992499351501465,1.4961702823638916,1.6862703561782837
