run_dir,method,epoch,round,train_loss,val_loss,phase,client_id,val_rmse,val_mae,is_best_round,best_round,personal_ft_best_epoch
final_centralized_seed42,centralized,1,0,-2.4794833768167126,-2.8588097409794906,,,,,,,
final_centralized_seed42,centralized,2,0,-2.9208603393342307,-2.8731955146662984,,,,,,,
final_centralized_seed42,centralized,3,0,-2.9489710052212503,-2.774460918764656,,,,,,,
final_centralized_seed42,centralized,4,0,-2.965264250736931,-2.9300579755766627,,,,,,,
final_centralized_seed42,centralized,5,0,-2.974394583855247,-2.9341026434616766,,,,,,,
final_centralized_seed42,centralized,6,0,-2.9811319356301613,-2.943837153386869,,,,,,,
final_centralized_seed42,centralized,7,0,-2.9812845512937427,-2.919030758006149,,,,,,,
final_centralized_seed42,centralized,8,0,-2.984219823404349,-2.961380208917646,,,,,,,
final_centralized_seed42,centralized,9,0,-2.9866689175558805,-2.9577756614132387,,,,,,,
final_centralized_seed42,centralized,10,0,-2.987207888229501,-2.967310509990733,,,,,,,
final_centralized_seed42,centralized,11,0,-2.988265477921774,-2.953179451565488,,,,,,,
final_centralized_seed42,centralized,12,0,-2.989612298757157,-2.964831148568204,,,,,,,
final_centralized_seed42,centralized,13,0,-2.989918210930181,-2.9628565169572565,,,,,,,
final_centralized_seed42,centralized,14,0,-2.9908592320101164,-2.946043212918469,,,,,,,
final_centralized_seed42,centralized,15,0,-2.9919919286601293,-2.956894898409338,,,,,,,
final_fedavg_seed42,fedavg,1,1,-1.17079395527056,-1.8748414157054456,post_agg_val,,4.365321754117214,4.024854742310826,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8983694983937067,post_agg_val,1.0,4.048874298731486,3.6834096908569336,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8946630644197224,post_agg_val,2.0,4.2403244972229,3.779839197794596,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8933099614249336,post_agg_val,3.0,4.148661533991496,3.891218264897665,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.840848471938061,post_agg_val,4.0,5.279452800750732,4.623982111612956,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.900608195919372,post_agg_val,5.0,4.325052579243978,4.010249137878418,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.883071342753944,post_agg_val,6.0,3.858913977940877,3.6091132958730063,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8864160136973604,post_agg_val,7.0,4.303288380304973,4.12328044573466,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.857838455306159,post_agg_val,8.0,4.4373384316762285,4.061575969060262,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8128897231558092,post_agg_val,9.0,3.951456864674886,3.619198004404704,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8910453157808316,post_agg_val,10.0,4.655976970990499,4.494493087132772,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8644604480012932,post_agg_val,11.0,4.170690655708313,3.908494154612223,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8881968761745247,post_agg_val,12.0,4.088178078333537,3.8320511976877847,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.867666278873478,post_agg_val,13.0,5.17379355430603,4.608081181844075,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8891301387179211,post_agg_val,14.0,4.3428865273793535,3.972145398457845,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8753405809402464,post_agg_val,15.0,4.596824645996094,4.444170912106832,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8976204880213332,post_agg_val,16.0,4.280368248621623,3.9697128931681314,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.888799804420287,post_agg_val,17.0,4.43485180536906,4.13044540087382,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.880214580856418,post_agg_val,18.0,3.819662809371948,3.580781857172648,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.86923494803167,post_agg_val,19.0,4.177549839019775,3.8189698855082193,True,1.0,
final_fedavg_seed42,fedavg,1,1,,-1.8178472940900685,post_agg_val,20.0,5.110655864079793,4.536263306935628,True,1.0,
final_fedavg_seed42,fedavg,2,2,-2.2235357979380344,-2.5457480647769075,post_agg_val,,3.2232238576887355,2.952138821912411,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.580902741428166,post_agg_val,1.0,3.049638311068217,2.8346906900405884,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.597530286853053,post_agg_val,2.0,3.030845165252685,2.7427695194880166,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.630515463087294,post_agg_val,3.0,2.5322405894597373,2.3119805256525674,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.579242638179234,post_agg_val,4.0,3.2234405676523843,2.643058697382609,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.674832380965165,post_agg_val,5.0,2.400661071141561,2.0906376441319785,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.525217132946468,post_agg_val,6.0,3.2862764596939087,3.103458404541016,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.671904629849373,post_agg_val,7.0,2.123693366845449,1.964638888835907,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.3272686862945555,post_agg_val,8.0,4.735621452331543,4.455453713734944,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.113456927175107,post_agg_val,9.0,5.897710243860881,5.719755967458089,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.7214062681150195,post_agg_val,10.0,2.372605045636495,2.2504907051722207,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.377799875178236,post_agg_val,11.0,4.315708875656128,4.156575997670491,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.628727498807405,post_agg_val,12.0,2.479521870613098,2.2668552796045938,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.6669125256237685,post_agg_val,13.0,2.7873375018437705,2.3616570631663003,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.628189916104342,post_agg_val,14.0,2.7384764353434243,2.4563451608022056,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.6880942905805387,post_agg_val,15.0,2.332159717877706,2.21804416179657,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.65867938025523,post_agg_val,16.0,2.356940507888794,2.148450414339701,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.688026619418232,post_agg_val,17.0,2.20637712876002,2.0218301018079123,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.578594323510451,post_agg_val,18.0,2.752260049184164,2.5794320702552795,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.486675960827718,post_agg_val,19.0,3.645732601483663,3.278732260068258,True,2.0,
final_fedavg_seed42,fedavg,2,2,,-2.141657755438205,post_agg_val,20.0,5.923420429229736,5.213951349258423,True,2.0,
final_fedavg_seed42,fedavg,3,3,-2.610577231722164,-2.8091136168864046,post_agg_val,,2.607420350276008,2.3662238016571875,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.8619791002716197,post_agg_val,1.0,2.3060423135757446,2.1262148221333823,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.870554960074545,post_agg_val,2.0,2.308069666226705,2.095430612564087,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.89814559618632,post_agg_val,3.0,1.9145394961039224,1.7011916438738506,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.8868892092664704,post_agg_val,4.0,2.1805381377538047,1.853794018427531,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.925236217147636,post_agg_val,5.0,1.7756136655807495,1.4529470602671306,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.811963657975722,post_agg_val,6.0,2.706834554672241,2.541343371073405,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.94193355479139,post_agg_val,7.0,1.449747085571289,1.291049857934316,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.609514446258545,post_agg_val,8.0,4.115727821985881,3.908374389012655,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.330668521964032,post_agg_val,9.0,5.574845790863037,5.414636135101318,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.9121324237267574,post_agg_val,10.0,1.9383411407470703,1.8260220487912493,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.6476395708449343,post_agg_val,11.0,3.856927076975504,3.73574964205424,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.9066684371546696,post_agg_val,12.0,1.827101707458496,1.6620004177093506,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.9160442201940864,post_agg_val,13.0,2.027890205383301,1.6857281128565471,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.8845201150505946,post_agg_val,14.0,2.220069964726766,1.9576075077056885,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.931532953325556,post_agg_val,15.0,1.7704637845357258,1.6638514796892805,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.91740986048165,post_agg_val,16.0,1.7822255690892537,1.574511965115865,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.945555405916223,post_agg_val,17.0,1.5464385747909546,1.3571639855702715,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.8752223465947195,post_agg_val,18.0,2.13333511352539,1.925555368264516,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.775906244210437,post_agg_val,19.0,3.0540820757548013,2.6917347510655723,True,3.0,
final_fedavg_seed42,fedavg,3,3,,-2.3652215320452123,post_agg_val,20.0,5.436485449473064,4.672045946121216,True,3.0,
final_fedavg_seed42,fedavg,4,4,-2.7718546899087424,-2.7779684814038834,post_agg_val,,2.8250234653655646,2.5866680816986,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.835821983683461,post_agg_val,1.0,2.6471298138300576,2.431083639462789,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.845643622534616,post_agg_val,2.0,2.593618512153625,2.317758480707804,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.869473793241713,post_agg_val,3.0,2.299625118573507,2.0614226659139,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.8877642675608146,post_agg_val,4.0,2.137895981470744,1.8026928106943767,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.919891519027774,post_agg_val,5.0,1.7846583525339763,1.6044915517171223,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.760236446027714,post_agg_val,6.0,3.25402824083964,3.126729647318522,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.939142519362429,post_agg_val,7.0,1.418859561284383,1.3235146800676982,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.5318265120188395,post_agg_val,8.0,4.655345837275188,4.493459463119507,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.1920831327852994,post_agg_val,9.0,6.222944736480713,6.0675398508707685,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.954146798531614,post_agg_val,10.0,1.4696352084477742,1.317661960919698,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.559033605900217,post_agg_val,11.0,4.501807848612468,4.42296576499939,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.883807370537206,post_agg_val,12.0,2.174388845761617,1.901875138282776,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.9374764115960748,post_agg_val,13.0,1.694793939590454,1.3663597106933594,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.863039109559186,post_agg_val,14.0,2.4547545115152998,2.0936386982599893,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.9607557302021847,post_agg_val,15.0,1.363361120223999,1.2390411297480266,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.903543714749611,post_agg_val,16.0,1.9673638343811035,1.7128140926361084,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.9517788887023926,post_agg_val,17.0,1.2666285634040833,1.176416238149007,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.8430791870687018,post_agg_val,18.0,2.582935412724813,2.351300517717997,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.721224008408268,post_agg_val,19.0,3.5495874881744385,3.1697773138682046,False,3.0,
final_fedavg_seed42,fedavg,4,4,,-2.255326779542771,post_agg_val,20.0,5.967128912607829,5.292332808176677,False,3.0,
final_fedavg_seed42,fedavg,5,5,-2.8556451257980355,-2.752110209356391,post_agg_val,,3.026482833967284,2.778894603845689,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.8156931339939937,post_agg_val,1.0,2.8654937744140625,2.616599996884664,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.8208067296933725,post_agg_val,2.0,2.8429501056671143,2.510088006655375,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.8429498619503444,post_agg_val,3.0,2.6118705670038858,2.3915093739827475,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.87964534358818,post_agg_val,4.0,2.2585692405700684,1.8745895624160769,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.9067325881335524,post_agg_val,5.0,1.964532732963562,1.795243461926778,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.7270678539108077,post_agg_val,6.0,3.534820477167765,3.4234190781911216,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.928182448732092,post_agg_val,7.0,1.6437063415845234,1.5153445601463318,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.482275093926324,post_agg_val,8.0,4.947127501169841,4.797880967458089,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.116028693447942,post_agg_val,9.0,6.535754998524983,6.37953249613444,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.966234172408904,post_agg_val,10.0,1.2901347875595093,1.1021643082300825,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.496693642595981,post_agg_val,11.0,4.872066020965576,4.805601278940837,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.865022630022283,post_agg_val,12.0,2.4168173472086587,2.1303433577219644,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.939343209739204,post_agg_val,13.0,1.6393816868464153,1.3803772926330566,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.838510566053137,post_agg_val,14.0,2.70642360051473,2.2549757957458496,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.970811161547076,post_agg_val,15.0,1.191811482111613,1.0634552041689556,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.8860199128167103,post_agg_val,16.0,2.2066388924916587,1.889836589495341,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.942984480788742,post_agg_val,17.0,1.4122549494107564,1.3196217219034831,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.819271180639623,post_agg_val,18.0,2.8394999504089355,2.605829119682312,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.6839380095490317,post_agg_val,19.0,3.833639701207479,3.485326608022054,False,3.0,
final_fedavg_seed42,fedavg,5,5,,-2.182428365260099,post_agg_val,20.0,6.280547936757405,5.640414714813232,False,3.0,
final_fedavg_seed42,fedavg,6,6,-2.892572781781824,-2.736736180850347,post_agg_val,,3.184876446855601,2.92142776780922,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.8062185607378995,post_agg_val,1.0,3.049372434616089,2.774038632710775,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.8069284563305,post_agg_val,2.0,3.0477988719940186,2.6633191108703613,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.827593933741252,post_agg_val,3.0,2.869774500528971,2.657564957936605,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.8827507175317333,post_agg_val,4.0,2.3494120041529336,1.9561373392740888,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.900883065107976,post_agg_val,5.0,2.157405058542887,1.9334978659947712,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.706694096720691,post_agg_val,6.0,3.766875425974528,3.656534274419149,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.924847406022092,post_agg_val,7.0,1.8602380355199175,1.6992340485254924,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.4419948927561443,post_agg_val,8.0,5.21919059753418,5.073058128356934,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.060441926251287,post_agg_val,9.0,6.788645108540853,6.626023928324382,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.9821649903628096,post_agg_val,10.0,0.9345324238141378,0.7451442281405131,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.448348483633488,post_agg_val,11.0,5.188749472300212,5.1246897379557295,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.855462438181827,post_agg_val,12.0,2.624595801035563,2.322802861531576,False,3.0,
final_fedavg_seed42,fedavg,6,6,,-2.9477377539282448,post_agg_val,13.0,1.5676153898239136,1.3914926052093506,False,3.0,
