method,epoch,round,train_loss,val_loss
centralized,1,0,-2.4794833768167126,-2.8588097409794906
centralized,2,0,-2.9208603393342307,-2.8731955146662984
centralized,3,0,-2.9489710052212503,-2.774460918764656
centralized,4,0,-2.965264250736931,-2.9300579755766627
centralized,5,0,-2.974394583855247,-2.9341026434616766
centralized,6,0,-2.9811319356301613,-2.9438371533868692
centralized,7,0,-2.9812845512937427,-2.919030758006149
centralized,8,0,-2.984219823404349,-2.961380208917646
centralized,9,0,-2.9866689175558805,-2.9577756614132387
centralized,10,0,-2.987207888229501,-2.9673105099907335
centralized,11,0,-2.988265477921774,-2.953179451565488
centralized,12,0,-2.989612298757157,-2.9648311485682037
centralized,13,0,-2.989918210930181,-2.9628565169572565
centralized,14,0,-2.9908592320101164,-2.9460432129184695
centralized,15,0,-2.9919919286601293,-2.956894898409338
