method,phase,round,epoch,client_id,train_loss,val_loss,val_rmse,val_mae,is_best_round,best_round,personal_ft_best_epoch
fedavg,post_agg_val,1,1,,-1.17079395527056,-1.8748414157054456,4.365321754117214,4.024854742310826,True,1,
fedavg,post_agg_val,1,1,01,,-1.8983694983937067,4.048874298731486,3.6834096908569336,True,1,
fedavg,post_agg_val,1,1,02,,-1.8946630644197224,4.2403244972229,3.779839197794596,True,1,
fedavg,post_agg_val,1,1,03,,-1.8933099614249336,4.148661533991496,3.8912182648976645,True,1,
fedavg,post_agg_val,1,1,04,,-1.8408484719380611,5.279452800750732,4.623982111612956,True,1,
fedavg,post_agg_val,1,1,05,,-1.9006081959193721,4.325052579243978,4.010249137878418,True,1,
fedavg,post_agg_val,1,1,06,,-1.8830713427539438,3.8589139779408774,3.6091132958730063,True,1,
fedavg,post_agg_val,1,1,07,,-1.8864160136973604,4.303288380304973,4.12328044573466,True,1,
fedavg,post_agg_val,1,1,08,,-1.857838455306159,4.4373384316762285,4.061575969060262,True,1,
fedavg,post_agg_val,1,1,09,,-1.8128897231558094,3.951456864674886,3.6191980044047036,True,1,
fedavg,post_agg_val,1,1,10,,-1.8910453157808313,4.655976970990499,4.4944930871327715,True,1,
fedavg,post_agg_val,1,1,11,,-1.8644604480012934,4.170690655708313,3.908494154612223,True,1,
fedavg,post_agg_val,1,1,12,,-1.8881968761745251,4.088178078333537,3.8320511976877847,True,1,
fedavg,post_agg_val,1,1,13,,-1.867666278873478,5.17379355430603,4.608081181844075,True,1,
fedavg,post_agg_val,1,1,14,,-1.8891301387179213,4.3428865273793535,3.972145398457845,True,1,
fedavg,post_agg_val,1,1,15,,-1.8753405809402466,4.596824645996094,4.444170912106832,True,1,
fedavg,post_agg_val,1,1,16,,-1.8976204880213334,4.280368248621623,3.9697128931681314,True,1,
fedavg,post_agg_val,1,1,17,,-1.888799804420287,4.4348518053690595,4.13044540087382,True,1,
fedavg,post_agg_val,1,1,18,,-1.8802145808564181,3.8196628093719482,3.580781857172648,True,1,
fedavg,post_agg_val,1,1,19,,-1.8692349480316701,4.177549839019775,3.8189698855082193,True,1,
fedavg,post_agg_val,1,1,20,,-1.8178472940900685,5.110655864079793,4.536263306935628,True,1,
fedavg,post_agg_val,2,2,,-2.2235357979380344,-2.5457480647769075,3.2232238576887355,2.952138821912411,True,2,
fedavg,post_agg_val,2,2,01,,-2.580902741428166,3.049638311068217,2.8346906900405884,True,2,
fedavg,post_agg_val,2,2,02,,-2.597530286853053,3.0308451652526855,2.7427695194880166,True,2,
fedavg,post_agg_val,2,2,03,,-2.630515463087294,2.5322405894597373,2.3119805256525674,True,2,
fedavg,post_agg_val,2,2,04,,-2.579242638179234,3.2234405676523843,2.643058697382609,True,2,
fedavg,post_agg_val,2,2,05,,-2.674832380965165,2.400661071141561,2.0906376441319785,True,2,
fedavg,post_agg_val,2,2,06,,-2.525217132946468,3.2862764596939087,3.1034584045410156,True,2,
fedavg,post_agg_val,2,2,07,,-2.671904629849373,2.123693366845449,1.964638888835907,True,2,
fedavg,post_agg_val,2,2,08,,-2.3272686862945555,4.735621452331543,4.455453713734944,True,2,
fedavg,post_agg_val,2,2,09,,-2.113456927175107,5.897710243860881,5.719755967458089,True,2,
fedavg,post_agg_val,2,2,10,,-2.7214062681150195,2.372605045636495,2.2504907051722207,True,2,
fedavg,post_agg_val,2,2,11,,-2.3777998751782357,4.315708875656128,4.156575997670491,True,2,
fedavg,post_agg_val,2,2,12,,-2.628727498807405,2.479521870613098,2.2668552796045938,True,2,
fedavg,post_agg_val,2,2,13,,-2.6669125256237685,2.7873375018437705,2.3616570631663003,True,2,
fedavg,post_agg_val,2,2,14,,-2.628189916104342,2.7384764353434243,2.4563451608022056,True,2,
fedavg,post_agg_val,2,2,15,,-2.6880942905805387,2.332159717877706,2.21804416179657,True,2,
fedavg,post_agg_val,2,2,16,,-2.65867938025523,2.356940507888794,2.148450414339701,True,2,
fedavg,post_agg_val,2,2,17,,-2.6880266194182316,2.20637712876002,2.0218301018079123,True,2,
fedavg,post_agg_val,2,2,18,,-2.578594323510451,2.7522600491841636,2.5794320702552795,True,2,
fedavg,post_agg_val,2,2,19,,-2.486675960827718,3.645732601483663,3.278732260068258,True,2,
fedavg,post_agg_val,2,2,20,,-2.1416577554382052,5.923420429229736,5.213951349258423,True,2,
fedavg,post_agg_val,3,3,,-2.610577231722164,-2.8091136168864046,2.607420350276008,2.3662238016571875,True,3,
fedavg,post_agg_val,3,3,01,,-2.8619791002716193,2.3060423135757446,2.1262148221333823,True,3,
fedavg,post_agg_val,3,3,02,,-2.870554960074545,2.308069666226705,2.095430612564087,True,3,
fedavg,post_agg_val,3,3,03,,-2.89814559618632,1.9145394961039226,1.7011916438738506,True,3,
