method,client_id,epoch,round,train_loss,val_loss
local,01,1,0,0.09788245597371349,-0.5928577172102304
local,01,2,0,-1.2095386653280062,-2.1611171664064948
local,01,3,0,-1.9396141566366816,-2.4241254913153023
local,01,4,0,-2.2802702526987333,-2.7326214192788814
local,01,5,0,-2.50004606580538,-2.807473242031371
local,01,6,0,-2.587724364834067,-2.896429857624231
local,01,7,0,-2.693754838817895,-2.9189469562804145
local,01,8,0,-2.7512309531616084,-2.9516026883185664
local,01,9,0,-2.7970855677569353,-2.9485257486753826
local,01,10,0,-2.8285258444248402,-2.8840429450892193
local,01,11,0,-2.847078139889878,-2.8914893166425357
local,01,12,0,-2.8765823409390547,-2.9080284728279597
local,01,13,0,-2.857021503487732,-2.8631387139171487
local,02,1,0,0.029824080847887305,-0.6963408038395793
local,02,2,0,-1.3803357817709965,-2.2148117337908064
local,02,3,0,-2.014060925239786,-2.520983493628622
local,02,4,0,-2.2773373280959763,-2.6453185562326125
local,02,5,0,-2.430291746898164,-2.6945699663723217
local,02,6,0,-2.5620229935902685,-2.8191870621272495
local,02,7,0,-2.641929852296486,-2.921602874242959
local,02,8,0,-2.7344227708467517,-2.8194351917555354
local,02,9,0,-2.791449867230938,-2.7055929688846363
local,02,10,0,-2.8159865685330483,-2.544083068350784
local,02,11,0,-2.84623403686062,-2.8681536221704564
local,02,12,0,-2.8605927359074093,-2.8413738202648005
local,03,1,0,0.20733069500959087,-0.26511050436231826
local,03,2,0,-0.5683331540890992,-1.2435645744535657
local,03,3,0,-1.616203836013991,-2.0657429938846166
local,03,4,0,-2.0263538260506095,-2.305676335228814
local,03,5,0,-2.213205296975291,-2.5761978181203204
local,03,6,0,-2.41016124062184,-2.759364226659139
local,03,7,0,-2.5694469345655326,-2.746603585349189
local,03,8,0,-2.658508274860608,-2.8446288691626656
local,03,9,0,-2.7352616124825535,-2.9266587766011556
local,03,10,0,-2.7575259529479226,-2.9407606262630885
local,03,11,0,-2.7604806135750435,-2.9525086996290417
local,03,12,0,-2.7955923573193173,-2.9620734553866916
local,03,13,0,-2.8105127441870255,-2.9620217408074274
local,03,14,0,-2.822653706800052,-2.9608069366878933
local,03,15,0,-2.871699124799221,-2.8690563413831924
local,04,1,0,0.15972448747056517,-0.5857690332316551
local,04,2,0,-1.3014539221484211,-2.2492660213919247
local,04,3,0,-2.091132109442878,-2.568671350719548
local,04,4,0,-2.421456143573469,-2.723573724762732
local,04,5,0,-2.6338632461534153,-2.9224392466184472
local,04,6,0,-2.7352283595463383,-2.7727051362270068
local,04,7,0,-2.7712847215203276,-2.8972971659748494
local,04,8,0,-2.7815202462972892,-2.808382931877585
local,04,9,0,-2.8464529206044493,-2.9644418944831656
local,04,10,0,-2.8607146629863913,-2.9657450864294996
local,04,11,0,-2.8738749558158627,-2.9101306470502326
local,04,12,0,-2.884030986162502,-2.925814618583487
local,04,13,0,-2.9020050055189217,-2.940798945787574
local,04,14,0,-2.8936506964231894,-2.7942531168961726
local,04,15,0,-2.907920798991141,-2.9607261569560075
local,05,1,0,0.2590994517119912,-0.44366664878992856
local,05,2,0,-1.0329547071262382,-2.1483879528285073
local,05,3,0,-1.840943073752217,-2.466497920048287
local,05,4,0,-2.2391917940185486,-2.735946137536021
local,05,5,0,-2.417229572040338,-2.8773580704772823
local,05,6,0,-2.5139810663288435,-2.866473160029455
local,05,7,0,-2.609557705348636,-2.9401284092140996
local,05,8,0,-2.680957913824273,-2.8189684187518003
local,05,9,0,-2.6641062884109474,-2.7533733944513807
local,05,10,0,-2.7486548762975573,-2.9182237810669585
local,05,11,0,-2.7696745434566035,-2.613833418451094
local,05,12,0,-2.8030811421181827,-2.9750013999859157
local,05,13,0,-2.8007828852523655,-2.7470990633864782
local,05,14,0,-2.81831247036947,-2.893471640024225
local,05,15,0,-2.80604369685335,-2.781971515471965
local,06,1,0,0.1712672090747488,-0.3492949602362343
local,06,2,0,-0.9447763602109152,-2.355114801339641
local,06,3,0,-1.9011294960528693,-2.448588484709483
local,06,4,0,-2.256361538545295,-2.725430404562257
local,06,5,0,-2.4039749372560966,-2.8069035870388217
local,06,6,0,-2.5502799852174043,-2.939435129123637
local,06,7,0,-2.6327462852735475,-2.9384316862417212
local,06,8,0,-2.7060649065519313,-2.9525610707404857
local,06,9,0,-2.7532569569065153,-2.9595109198061906
local,06,10,0,-2.7913379684513626,-2.7730107443973355
local,06,11,0,-2.792743432311113,-2.93447973759689
local,06,12,0,-2.840097362368134,-2.8194240956579537
local,06,13,0,-2.8497091667755567,-2.9593324808297177
local,06,14,0,-2.847205709887496,-2.9594406041804913
local,07,1,0,0.05822411014573659,-0.8014764504229769
local,07,2,0,-1.4930877547404708,-2.4219027184425514
local,07,3,0,-2.0771111980720436,-2.383217469682085
local,07,4,0,-2.291728755198053,-2.7043740546449704
local,07,5,0,-2.469413343637765,-2.7928473259540314
local,07,6,0,-2.613829750134053,-2.9612703708892174
local,07,7,0,-2.6747958890773815,-2.8704946507798863
local,07,8,0,-2.6952375132249418,-2.9798296948696703
local,07,9,0,-2.7764845815768098,-2.986980052704507
local,07,10,0,-2.757777851971085,-2.969394631081439
local,07,11,0,-2.808958359598435,-2.9417161170472492
local,07,12,0,-2.8009657848701535,-2.951370906829834
local,07,13,0,-2.860832369025359,-2.8202561550952017
local,07,14,0,-2.8600829430830275,-2.953648055867946
local,08,1,0,-0.02179433506871037,-0.8876663605372112
local,08,2,0,-1.3569981050235655,-1.7879935683144463
local,08,3,0,-1.651349612279488,-2.233602197435167
local,08,4,0,-2.009206720715234,-2.4867990493774412
local,08,5,0,-2.1396500159204805,-2.5537792597876656
local,08,6,0,-2.3315887747756916,-2.440933689541287
local,08,7,0,-2.470751426047358,-2.8565418921576606
local,08,8,0,-2.52900359291813,-2.6241588581932915
local,08,9,0,-2.663713271496443,-2.8597241338094075
local,08,10,0,-2.712328612325019,-2.9102770868937173
local,08,11,0,-2.749596663774178,-2.8533366500006783
local,08,12,0,-2.742107907824478,-2.5969605255126953
local,08,13,0,-2.810408575477293,-2.8024910630120172
local,08,14,0,-2.825341516141917,-2.8103494940863714
local,08,15,0,-2.8545782064944105,-2.9222970072428387
local,09,1,0,0.33447134098465653,-0.34468891257825107
local,09,2,0,-1.0159129875001933,-2.2176291299902875
local,09,3,0,-1.975314336590528,-2.462987006228903
local,09,4,0,-2.2429719305919154,-2.6768880533135455
local,09,5,0,-2.416620059378229,-2.7166529696920643
local,09,6,0,-2.500006377413908,-2.8884135660917862
local,09,7,0,-2.5744902798242495,-2.8030810936637547
local,09,8,0,-2.6022443641773316,-2.9464657306671143
local,09,9,0,-2.6464214087161664,-2.8589394175488017
local,09,10,0,-2.687240603228043,-2.8469050822050677
local,09,11,0,-2.719318457832437,-2.956246405062468
local,09,12,0,-2.7428716792909325,-2.8879916356957476
local,09,13,0,-2.7777656435651954,-2.9510024692701258
local,09,14,0,-2.8024742603302,-2.9520336047462794
local,09,15,0,-2.817696461262363,-2.8676220458486807
local,10,1,0,0.2563266608955038,-0.47642598754197507
local,10,2,0,-1.0646222376837626,-2.1104769503051912
local,10,3,0,-1.8474238954036275,-2.306648458068694
local,10,4,0,-2.102142907523768,-2.500996123606236
local,10,5,0,-2.301326139829498,-2.8143007767260375
local,10,6,0,-2.4656460658647674,-2.8791010523561256
local,10,7,0,-2.59043157320778,-2.8245185224255125
local,10,8,0,-2.684688601769316,-2.950936053865519
local,10,9,0,-2.7473616416856177,-2.988192584646407
local,10,10,0,-2.745826494274855,-2.9847063574958685
local,10,11,0,-2.7937327467876933,-2.975380092409987
local,10,12,0,-2.8092592516564556,-2.9781765590361013
local,10,13,0,-2.8058391724973295,-2.968295043437325
local,10,14,0,-2.860812861554462,-2.8642739387013805
local,11,1,0,0.06352859234141413,-0.748462375681451
local,11,2,0,-1.4086478698538347,-2.2058996494780194
local,11,3,0,-1.998159002168404,-2.531255255354212
local,11,4,0,-2.285421930740927,-2.8344023319000895
local,11,5,0,-2.5142749165448817,-2.8657220586817314
local,11,6,0,-2.6127354016804127,-2.756288072910715
local,11,7,0,-2.6943512346638077,-2.7486838868323793
local,11,8,0,-2.7315943104950935,-2.8886429685227415
local,11,9,0,-2.7745490257366177,-2.907825845353147
local,11,10,0,-2.7936230433692812,-2.5937900563503833
local,11,11,0,-2.814562724510581,-2.7806175881243766
local,11,12,0,-2.8202000582824738,-2.9720502305538097
local,11,13,0,-2.814177431916646,-2.851820888925106
local,11,14,0,-2.8372331346430637,-2.6564589013444615
local,11,15,0,-2.8596187214737494,-2.9616592650717877
local,12,1,0,0.151847609116676,-0.8244260706399617
local,12,2,0,-1.3951470040260476,-2.1063422362009683
local,12,3,0,-1.9637445875938901,-2.528293492501242
local,12,4,0,-2.3177564783299225,-2.573486424328988
local,12,5,0,-2.485073241781681,-2.755931770592405
local,12,6,0,-2.6260420636927826,-2.9575951224879216
local,12,7,0,-2.7072134139689994,-2.9072643539361787
local,12,8,0,-2.7587055733863344,-2.7910024701503287
local,12,9,0,-2.8034383225948254,-2.8386593157784983
local,12,10,0,-2.8072148272331723,-2.62222305097078
local,12,11,0,-2.790588561524736,-2.917914817207738
local,13,1,0,0.03935059795152081,-0.8343106631760124
local,13,2,0,-1.4334800295095382,-2.1071116193994746
local,13,3,0,-2.013395056031531,-2.3108393437153585
local,13,4,0,-2.254511554432536,-2.441602661802962
local,13,5,0,-2.4420093041955777,-2.5739282573665583
local,13,6,0,-2.5787818695614497,-2.8676365238052233
local,13,7,0,-2.6589886050938008,-2.9204799763791196
local,13,8,0,-2.6763607731610213,-2.779760403676076
local,13,9,0,-2.7527730832130946,-2.7142933982986586
local,13,10,0,-2.7710654208044687,-2.9055403288420254
local,13,11,0,-2.822382407695249,-2.896501633498046
local,13,12,0,-2.798846211712686,-2.885674543208904
local,14,1,0,0.2433621692261808,-0.5234219363305421
local,14,2,0,-1.108711348100699,-1.8248703395370889
local,14,3,0,-1.7085982839351548,-2.2508788678498393
local,14,4,0,-2.0770363526885465,-2.536613147870629
local,14,5,0,-2.322517329160866,-2.8118228405977774
local,14,6,0,-2.4756407865365007,-2.8755122096137664
local,14,7,0,-2.544952022442215,-2.9079629256662014
local,14,8,0,-2.6255150040416186,-2.9087808511953437
local,14,9,0,-2.7147405510030413,-2.9304036334552594
local,14,10,0,-2.74063663972777,-2.9411679833336213
local,14,11,0,-2.7669051689049926,-2.889865411066376
local,14,12,0,-2.7976495943947572,-2.93371747658316
local,14,13,0,-2.823072780123104,-2.83616621937372
local,14,14,0,-2.8294034285004184,-2.8564588116333547
local,14,15,0,-2.8119850122954144,-2.90016780279379
local,15,1,0,0.34101729518952245,-0.35779669271648257
local,15,2,0,-0.693522718753582,-1.3592557182628147
local,15,3,0,-1.640206231240975,-2.2435381728641235
local,15,4,0,-2.0211768243736996,-2.4160829104112658
local,15,5,0,-2.209366510675439,-2.687638801764388
local,15,6,0,-2.3382032450453623,-2.7897568974047076
local,15,7,0,-2.489459520589869,-2.938969837367864
local,15,8,0,-2.5832355414435275,-2.747676007655444
local,15,9,0,-2.61071594096792,-2.931142999322375
local,15,10,0,-2.650194866655726,-2.9083915929109354
local,15,11,0,-2.710905048429162,-2.9224143607840354
local,15,12,0,-2.7346245750985854,-2.9936990066127884
local,15,13,0,-2.7761660260731547,-2.963881633558326
local,15,14,0,-2.798371763970504,-2.9807564751219355
local,15,15,0,-2.7681509698134015,-2.8437348307825583
local,16,1,0,0.3347773880963468,-0.5434538024967
local,16,2,0,-1.0950829824384773,-2.0096345715603587
local,16,3,0,-1.7856033258408646,-2.3962707681170965
local,16,4,0,-2.2140479151669785,-2.7368277331530035
local,16,5,0,-2.46237348847237,-2.902548111091226
local,16,6,0,-2.588377946191664,-2.930981312767934
local,16,7,0,-2.695010920386113,-2.9780842207245906
local,16,8,0,-2.745216197996994,-2.9443370608960167
local,16,9,0,-2.7543472163340827,-2.9534536741547663
local,16,10,0,-2.8238769756163924,-2.9642366958876787
local,16,11,0,-2.829844633901893,-2.9439998885332526
local,16,12,0,-2.870087015150013,-2.9391218444048346
local,17,1,0,0.5171856271109455,-0.3738062447971768
local,17,2,0,-1.0135145903456746,-1.8749341751642272
local,17,3,0,-1.666635555419878,-2.165791835185986
local,17,4,0,-2.018921468556956,-2.372618986212689
local,17,5,0,-2.218084472506998,-2.740922671009377
local,17,6,0,-2.3365704338350284,-2.7579450733995667
local,17,7,0,-2.47055903128568,-2.763979955571861
local,17,8,0,-2.5814217670603097,-2.7732405397627087
local,17,9,0,-2.6594575592782883,-2.921385746647194
local,17,10,0,-2.693297604285395,-2.9447818389837295
local,17,11,0,-2.703450005128551,-2.9153583775395933
local,17,12,0,-2.789629842112885,-2.8787576046542847
local,17,13,0,-2.8214441994665957,-2.9226774328572738
local,17,14,0,-2.8510246370137766,-2.9205015880474146
local,17,15,0,-2.860489183245923,-2.8272207255524715
local,18,1,0,-0.03547514583811413,-0.723609692575526
local,18,2,0,-1.3463886446490272,-2.0593673925676783
local,18,3,0,-1.9748745494956834,-2.565382190759746
local,18,4,0,-2.2301459535237433,-2.714151556561102
local,18,5,0,-2.4521178998215785,-2.710320363895527
local,18,6,0,-2.5876392282889906,-2.9464285571545488
local,18,7,0,-2.7138595956421674,-2.6971103056832466
local,18,8,0,-2.742927576334359,-2.357946495792183
local,18,9,0,-2.763924473611881,-2.8739740037324517
local,18,10,0,-2.819444410203979,-2.865793195502887
local,18,11,0,-2.8323765683743236,-2.851600757772992
local,19,1,0,0.1618277215925682,-0.3573497947865883
local,19,2,0,-0.9889343316689253,-2.172858837431511
local,19,3,0,-1.8941515259065194,-2.3809446275761696
local,19,4,0,-2.279611735049905,-2.5728631040691274
local,19,5,0,-2.427598052370005,-2.819410075128606
local,19,6,0,-2.6213584106026,-2.713801713116401
local,19,7,0,-2.6929892313704094,-2.883789214412723
local,19,8,0,-2.748314348813995,-2.722641733895361
local,19,9,0,-2.7583806779365436,-2.8276546085830283
local,19,10,0,-2.7921475324809713,-2.9426121479642076
local,19,11,0,-2.824957748136955,-2.641398024770011
local,19,12,0,-2.8355985769317873,-2.9294296429220554
local,19,13,0,-2.849818438563206,-2.928793339602715
local,19,14,0,-2.8857613361552956,-2.8069934190902033
local,19,15,0,-2.8890235573612655,-2.837136690595509
local,20,1,0,0.3477970833220923,-0.49973945807566683
local,20,2,0,-1.154464069122041,-2.1325337348786078
local,20,3,0,-2.0410974326779208,-2.4860395562332287
local,20,4,0,-2.31028627571159,-2.6025667042858833
local,20,5,0,-2.504937277304546,-2.6808431021935117
local,20,6,0,-2.618236056491613,-2.686014928648957
local,20,7,0,-2.6878649224056286,-2.621252138002784
local,20,8,0,-2.7008224159973455,-2.777116661578153
local,20,9,0,-2.7418123058229287,-2.7229762267222446
local,20,10,0,-2.7696772700902166,-2.683415474089901
local,20,11,0,-2.7719008380426575,-2.8361134360321856
local,20,12,0,-2.8104215516579734,-2.739171093544074
local,20,13,0,-2.8408310404431063,-2.822208088056176
local,20,14,0,-2.8701007063851884,-2.83853680897603
local,20,15,0,-2.855511254202943,-2.8388509898059135
