method,phase,round,epoch,client_id,train_loss,val_loss,val_rmse,val_mae,is_best_round,best_round,personal_ft_best_epoch
proposed,fl_round,1,1,,-1.138820771011474,,,,False,0,
proposed,post_agg_val,1,1,,-1.138820771011474,-2.1130050215618823,3.978013065451411,3.5715344654268315,True,1,
proposed,post_agg_val,1,1,01,,-1.5888065341152722,2.070322593053182,1.6752188603083293,True,1,
proposed,post_agg_val,1,1,02,,-2.2499945283937857,3.500028928120931,2.9322471618652344,True,1,
proposed,post_agg_val,1,1,03,,-2.261979426278008,3.264012336730957,2.9448399543762207,True,1,
proposed,post_agg_val,1,1,04,,-2.496580420421953,2.128215789794922,1.8383957147598267,True,1,
proposed,post_agg_val,1,1,05,,-2.285336841599213,4.019862413406372,3.7552222410837808,True,1,
proposed,post_agg_val,1,1,06,,-2.035796938488662,5.53819219271342,5.191866477330525,True,1,
proposed,post_agg_val,1,1,07,,-2.2225907711272543,2.3569538990656533,2.1382981141408286,True,1,
proposed,post_agg_val,1,1,08,,-1.2245615434646606,7.400191942850749,7.13455597559611,True,1,
proposed,post_agg_val,1,1,09,,-2.3739098963530165,3.698134104410807,3.115730404853821,True,1,
proposed,post_agg_val,1,1,10,,-1.7204377723099598,4.8930502732594805,4.3743077119191485,True,1,
proposed,post_agg_val,1,1,11,,-2.121271795922137,3.4273777405420938,3.1950762271881104,True,1,
proposed,post_agg_val,1,1,12,,-2.195989776075932,4.384862144788106,4.069098869959514,True,1,
proposed,post_agg_val,1,1,13,,-2.1286521741935798,5.340535720189412,4.693684895833333,True,1,
proposed,post_agg_val,1,1,14,,-2.070039936926513,4.561817725499471,4.049514293670654,True,1,
proposed,post_agg_val,1,1,15,,-1.4064316150233231,5.715088287989299,5.516575256983439,True,1,
proposed,post_agg_val,1,1,16,,-2.357786598852125,2.0046157042185464,1.645636757214864,True,1,
proposed,post_agg_val,1,1,17,,-2.4071657968604048,2.2589721282323203,1.929584542910258,True,1,
proposed,post_agg_val,1,1,18,,-2.2454968596889766,3.7750867207845054,3.47444740931193,True,1,
proposed,post_agg_val,1,1,19,,-2.560965497936823,4.136152426401774,3.4631539980570474,True,1,
proposed,post_agg_val,1,1,20,,-2.0990840217708486,5.829326152801514,5.03916597366333,True,1,
proposed,fl_round,2,2,,-2.229018601915566,,,,False,1,
proposed,post_agg_val,2,2,,-2.229018601915566,-2.6812730653969963,2.6682388442179485,2.3944382932011568,True,2,
proposed,post_agg_val,2,2,01,,-2.76482381800559,2.2718541622161865,1.965491533279419,True,2,
proposed,post_agg_val,2,2,02,,-2.64034227964257,3.2481359243392944,2.9389642477035522,True,2,
proposed,post_agg_val,2,2,03,,-2.7161016496022543,1.6214054425557454,1.3014105161031086,True,2,
proposed,post_agg_val,2,2,04,,-2.9561863486506357,1.248891830444336,1.033790946006775,True,2,
proposed,post_agg_val,2,2,05,,-2.790665276379765,2.686109264691671,2.5020315448443093,True,2,
proposed,post_agg_val,2,2,06,,-2.7187398068180166,3.049451390902201,2.8512699206670127,True,2,
proposed,post_agg_val,2,2,07,,-2.8350122106836197,1.6476322412490845,1.5041399598121643,True,2,
proposed,post_agg_val,2,2,08,,-2.725496282577515,2.1563421885172525,1.6956477165222168,True,2,
proposed,post_agg_val,2,2,09,,-2.254451532985853,6.09382979075114,5.847869714101155,True,2,
proposed,post_agg_val,2,2,10,,-2.4923499037872006,2.7158074378967285,2.5001453955968223,True,2,
proposed,post_agg_val,2,2,11,,-2.628124686504932,3.8974150021870932,3.757981459299723,True,2,
proposed,post_agg_val,2,2,12,,-2.617721992626525,2.003351847330729,1.7847377856572468,True,2,
proposed,post_agg_val,2,2,13,,-2.395778466989328,5.221670150756836,4.912335157394409,True,2,
proposed,post_agg_val,2,2,14,,-2.761605737483607,2.150094230969747,1.7583077748616536,True,2,
proposed,post_agg_val,2,2,15,,-2.495109257777093,1.2164421478907268,0.9830578962961832,True,2,
proposed,post_agg_val,2,2,16,,-2.9568341869418906,1.1546105742454529,0.9538474281628927,True,2,
proposed,post_agg_val,2,2,17,,-2.4734476015763582,2.767062544822693,2.475461800893148,True,2,
proposed,post_agg_val,2,2,18,,-2.786642531636345,2.36784819761912,2.210793654123942,True,2,
proposed,post_agg_val,2,2,19,,-2.867250130239841,2.225799242655436,1.757008155186971,True,2,
proposed,post_agg_val,2,2,20,,-2.628939542095218,3.469247500101725,2.9868828455607095,True,2,
proposed,fl_round,3,3,,-2.5737729562107448,,,,False,2,
proposed,post_agg_val,3,3,,-2.5737729562107448,-2.8316347856380273,2.3661916409543964,2.1436540776408983,True,3,
proposed,post_agg_val,3,3,01,,-2.9435934728710964,1.633268674214681,1.414568026860555,True,3,
proposed,post_agg_val,3,3,02,,-2.836235200657564,2.6483784914016724,2.401206652323405,True,3,
proposed,post_agg_val,3,3,03,,-2.895738632414076,2.0413331190745034,1.8232986132303874,True,3,
proposed,post_agg_val,3,3,04,,-2.9003887537146817,2.0784071683883667,1.9501562317212422,True,3,
proposed,post_agg_val,3,3,05,,-2.981983519997058,0.9424114425977071,0.7609473069508871,True,3,
proposed,post_agg_val,3,3,06,,-2.601356321494485,4.419251918792725,4.331249078114827,True,3,
proposed,post_agg_val,3,3,07,,-2.9259624024654958,1.6980077425638835,1.5935821533203125,True,3,
proposed,post_agg_val,3,3,08,,-2.8690404796600344,2.3994605938593545,2.2381234963734946,True,3,
proposed,post_agg_val,3,3,09,,-2.6413444892219875,4.111878077189128,3.8005828857421875,True,3,
proposed,post_agg_val,3,3,10,,-2.8522131538870346,1.1292365193367004,0.964436928431193,True,3,
proposed,post_agg_val,3,3,11,,-2.974789509874709,1.0935620069503784,0.9016531308492025,True,3,
proposed,post_agg_val,3,3,12,,-2.685039804692854,3.586733420689901,3.4189708630243936,True,3,
proposed,post_agg_val,3,3,13,,-2.6948788724504076,3.4962467749913535,3.2169739802678428,True,3,
proposed,post_agg_val,3,3,14,,-2.8722431448708594,2.3730260531107583,1.858498215675354,True,3,
proposed,post_agg_val,3,3,15,,-2.7419500166539987,1.9742651184399922,1.799383540948232,True,3,
proposed,post_agg_val,3,3,16,,-2.9506084110777255,1.52308456103007,1.3068103392918904,True,3,
proposed,post_agg_val,3,3,17,,-2.8551659964133,1.778502345085144,1.5836902459462483,True,3,
