client_id,raw_rows,raw_sessions_gap_based,valid_sessions,windows_total,windows_train,windows_val,windows_test,c_ref_ah,removed_by_min_delta_soc,removed_by_other_filters,purge_gap,metadata_feature_names,capacity_min_ah,capacity_mean_ah,capacity_std_ah,capacity_median_ah,capacity_max_ah,soh_min_percent,soh_mean_percent,soh_std_percent,soh_median_percent,soh_max_percent,capacity_outlier_count,bms_jump_count_diag,reject_too_short,reject_soc_invalid,reject_delta_soc_small_or_nonpositive,reject_soc_jump,reject_current_nan_excess,reject_capacity_invalid,npz_path,session_csv_path
1,854591,4223,2809,2699,1944,237,518,134.2473205411069,5,1409,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,104.50521850585938,122.52483367919922,5.557411193847656,122.17729949951172,148.09544372558594,85.2451400756836,91.32792663574219,3.8621912002563477,90.78585052490234,100.89315795898438,3,3,1405,0,5,3,0,1,processed_ev_soh_v2_3_min5_purge_meta\client_01.npz,processed_ev_soh_v2_3_min5_purge_meta\client_01_sessions.csv
2,841810,4509,2819,2709,1951,238,520,133.43525653435523,31,1659,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,104.67266082763672,121.71766662597656,5.396541595458984,121.41921997070312,141.84378051757812,85.40941619873047,91.29583740234375,3.813584566116333,90.97174072265625,101.18643188476562,6,3,1657,0,31,2,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_02.npz,processed_ev_soh_v2_3_min5_purge_meta\client_02_sessions.csv
3,802918,4241,2687,2577,1858,225,494,133.89433964132536,9,1545,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,106.47853088378906,121.48955535888672,5.268550872802734,121.30131530761719,149.89382934570312,85.10804748535156,90.72343444824219,3.6540262699127197,91.33679962158203,101.00382232666016,1,2,1543,0,9,2,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_03.npz,processed_ev_soh_v2_3_min5_purge_meta\client_03_sessions.csv
4,844537,4291,2817,2707,1949,238,520,133.53251055919867,17,1457,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,106.17967987060547,122.65575408935547,4.5887579917907715,122.0457534790039,139.98377990722656,87.72711944580078,91.90087127685547,3.0956268310546875,91.11355590820312,100.96404266357422,3,1,1456,0,17,1,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_04.npz,processed_ev_soh_v2_3_min5_purge_meta\client_04_sessions.csv
5,832189,4706,2833,2723,1961,239,523,134.39075376989996,10,1863,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,109.41516876220703,122.22315216064453,4.771252632141113,121.71927642822266,138.75982666015625,85.52587890625,90.97420501708984,3.2099273204803467,90.81742858886719,100.45481872558594,3,1,1863,0,10,0,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_05.npz,processed_ev_soh_v2_3_min5_purge_meta\client_05_sessions.csv
6,815202,4258,2700,2590,1867,227,496,133.41337760036689,3,1555,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,103.94972229003906,121.06814575195312,5.814849853515625,119.94793701171875,140.34561157226562,85.6461181640625,90.7021255493164,4.013801574707031,89.77555847167969,100.27037811279297,5,2,1554,0,3,1,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_06.npz,processed_ev_soh_v2_3_min5_purge_meta\client_06_sessions.csv
7,808770,4442,2793,2683,1933,235,515,133.8562894615178,20,1629,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,105.6935043334961,122.5530776977539,5.269871711730957,122.28663635253906,148.63873291015625,86.45552825927734,91.57280731201172,3.632169246673584,91.05111694335938,100.43853759765625,4,1,1629,0,20,0,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_07.npz,processed_ev_soh_v2_3_min5_purge_meta\client_07_sessions.csv
8,798496,4730,2696,2586,1865,225,496,134.2632571279762,3,2031,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,102.87167358398438,121.45747375488281,6.060038089752197,120.39799499511719,140.97262573242188,83.62176513671875,90.49610900878906,4.243930339813232,89.53978729248047,100.62017822265625,2,1,2030,0,3,1,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_08.npz,processed_ev_soh_v2_3_min5_purge_meta\client_08_sessions.csv
9,792060,4351,2739,2629,1895,230,504,134.67748348100352,151,1461,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,98.2112808227539,119.61671447753906,8.312461853027344,120.31665802001953,142.17483520507812,79.42780303955078,88.99909973144531,5.706448554992676,89.92254638671875,101.46012115478516,10,2,1460,0,151,1,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_09.npz,processed_ev_soh_v2_3_min5_purge_meta\client_09_sessions.csv
10,728849,3683,2431,2321,1679,199,443,132.86539093333602,1,1251,22,delta_soc|charge_throughput_ah|duration_min|n_samples|mean_current|max_current|mean_pack_voltage|mean_temperature|max_temperature|mean_cell_voltage_gap|max_cell_voltage_gap|mean_temperature_gap|max_temperature_gap,110.90745544433594,124.23151397705078,4.468602657318115,123.95509338378906,138.70034790039062,87.49380493164062,93.6220932006836,3.0191400051116943,93.31657409667969,100.23086547851562,4,1,1251,0,1,0,0,0,processed_ev_soh_v2_3_min5_purge_meta\client_10.npz,processed_ev_soh_v2_3_min5_purge_meta\client_10_sessions.csv
